year;TR_ID;city;gender;total_crime;homicide;assault;sexual_crimes;kidnapping;defamation;theft;robbery;swindling;production_and_commerce_of_drugs;use_and_purchase_of_drugs;forgery;bad_treatment;embezzlement;bribery;smuggling;traffic_crimes;forestry_crimes;crimes_related_with_firearms_and_knifes;opposition_to_the_bankruptcy_and_enforcement_law;opposition_to_the_military_criminal_law;threat;damage_to_property;prevention_of_performance;contrary_to_the_measures_for_family_protection;other_crimes;unknown
2020;TRC21;Şanlıurfa;Male;3938;109;531;28;72;32;745;117;119;437;227;67;1;0;0;93;59;0;183;65;66;99;40;63;99;683;3
2020;TRC21;Şanlıurfa;Female;103;2;9;0;3;2;32;1;13;7;3;2;0;0;0;1;0;0;2;0;0;1;1;0;2;22;0
2020;TRC22;Diyarbakır;Male;4091;147;611;49;64;33;674;163;66;502;205;145;0;3;2;75;67;1;181;21;107;93;31;69;72;701;9
2020;TRC22;Diyarbakır;Female;95;1;9;2;4;2;19;4;2;16;0;5;0;0;0;2;3;0;2;0;0;1;1;0;1;21;0
2020;TRC31;Mardin;Male;1457;41;241;17;31;5;281;37;41;78;69;33;2;0;0;43;28;4;56;18;37;52;11;26;38;267;1
2020;TRC31;Mardin;Female;42;2;3;0;1;1;12;1;0;0;1;2;0;0;0;1;0;0;0;1;0;1;0;2;0;14;0
2020;TRC32;Batman;Male;1109;24;157;18;30;17;245;34;13;71;26;30;0;1;0;25;24;0;84;6;7;39;10;18;12;216;2
2020;TRC32;Batman;Female;44;0;2;0;3;0;29;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;5;0
2020;TRC33;Şırnak;Male;832;11;59;7;19;5;98;10;16;16;33;82;0;1;8;120;12;0;25;4;45;18;5;15;8;214;1
2020;TRC33;Şırnak;Female;22;0;1;0;0;1;3;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0
2020;TRC34;Siirt;Male;535;12;95;10;9;6;106;18;3;14;15;4;2;0;2;11;5;1;26;1;16;19;11;13;22;114;0
2020;TRC34;Siirt;Female;18;1;2;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
2019;TR100;İstanbul;Male;45291;1605;4969;948;479;420;6952;3292;1811;3067;3185;2976;13;25;42;782;1009;27;1516;1430;371;1429;385;506;737;7311;4
2019;TR100;İstanbul;Female;1800;43;115;4;18;25;522;67;63;137;33;100;29;3;0;52;12;0;10;85;0;33;22;15;35;377;0
2019;TR211;Tekirdağ;Male;3171;78;412;79;40;48;550;151;77;142;193;82;2;1;4;41;166;5;70;253;157;160;48;32;76;304;0
2019;TR211;Tekirdağ;Female;112;3;10;0;0;0;29;3;4;16;2;2;0;0;0;2;2;0;0;21;0;1;0;1;2;14;0
2019;TR212;Edirne;Male;2131;54;205;36;23;30;248;58;26;86;109;47;0;11;3;74;69;0;34;76;207;95;22;18;26;573;1
2019;TR212;Edirne;Female;57;2;5;0;0;0;17;0;1;6;0;0;0;0;0;3;1;0;1;3;0;1;0;2;3;12;0
2019;TR213;Kırklareli;Male;1312;44;167;32;11;12;208;54;22;73;52;21;0;4;0;22;74;3;18;107;68;59;18;21;29;192;1
2019;TR213;Kırklareli;Female;55;1;7;0;0;0;16;1;0;7;0;1;0;0;0;0;0;0;0;6;0;3;0;1;2;10;0
2019;TR221;Balıkesir;Male;5147;217;764;118;83;78;703;206;146;231;89;77;2;3;1;44;230;21;156;516;78;343;65;63;100;810;3
2019;TR221;Balıkesir;Female;267;6;28;2;7;6;54;7;7;17;3;6;0;0;0;8;3;0;3;34;0;6;1;3;5;61;0
2019;TR222;Çanakkale;Male;2111;59;245;62;31;47;243;58;75;54;78;42;1;3;3;28;92;11;29;142;105;120;20;30;37;495;1
2019;TR222;Çanakkale;Female;79;0;5;0;0;4;11;3;1;5;2;2;0;0;0;1;0;0;0;14;0;5;1;1;2;22;0
2019;TR310;İzmir;Male;20635;551;2322;328;149;342;2758;1112;744;973;1639;666;8;12;14;433;1196;22;407;947;241;1026;195;304;360;3885;1
2019;TR310;İzmir;Female;817;20;64;7;3;19;193;22;42;46;21;22;0;3;0;16;25;0;7;58;0;35;8;14;12;180;0
2019;TR321;Aydın;Male;5704;186;745;115;70;100;845;260;157;282;335;99;1;3;0;77;391;21;113;302;62;384;66;115;95;880;0
2019;TR321;Aydın;Female;235;3;26;0;0;6;40;11;16;14;21;6;0;0;1;2;2;0;1;21;0;10;2;2;1;50;0
2019;TR322;Denizli;Male;4783;133;528;97;63;102;737;211;205;196;150;108;1;5;1;78;261;10;101;570;25;319;44;56;108;674;0
2019;TR322;Denizli;Female;273;4;20;1;6;7;55;3;17;25;12;1;0;0;0;1;2;0;1;36;0;9;3;1;1;68;0
2019;TR323;Muğla;Male;4310;182;624;99;46;98;476;120;122;242;68;105;0;10;9;64;412;25;59;293;20;281;50;75;78;751;1
2019;TR323;Muğla;Female;205;1;26;1;3;9;32;3;9;8;2;1;0;1;0;8;7;0;1;31;0;7;1;6;4;44;0
2019;TR331;Manisa;Male;6345;243;858;146;59;113;799;277;193;309;166;92;1;4;1;89;373;25;99;407;59;419;71;81;161;1300;0
2019;TR331;Manisa;Female;297;10;27;1;2;6;48;15;10;19;2;5;2;0;0;5;3;1;0;27;0;14;3;1;1;95;0
